Time,X,Y,Z,Q0,Q1,Q2,Q3,Velocity,Acceleration,Mach
8.259863516523154,-87.08792146420959,-0.019652440199620355,699.8509162035505,0.5870815266713763,-0.238602049166452,-0.1874423955208391,0.7505128560720639,18.328749837300705,-9.75097915894753,0.05343658844694083
8.269863516523154,-87.15693367130689,-0.019667730356227014,700.0201888045647,0.5851550251179641,-0.24023121451191173,-0.1879178348234723,0.7513782689843016,18.231312616937057,-9.736431767512613,0.05315251491818384
8.279863516523154,-87.22592104449252,-0.019683015010699852,700.1884196693558,0.5832339923309757,-0.24185674257610168,-0.18838381002456908,0.7522332231256714,18.134021201950457,-9.721816888833473,0.05286886647798967
8.289863516523154,-87.29488372556257,-0.01969829419445483,700.3556094958345,0.5813185631999309,-0.24347827102577804,-0.18884009868211732,0.7530779058905221,18.036876279160392,-9.707132107170196,0.0525856451287475
8.299863516523153,-87.36382185596106,-0.019713567938829894,700.5217589771529,0.5794088630445534,-0.24509546971117696,-0.18928651088936835,0.7539124966075734,17.939878559807056,-9.692374953398371,0.052302852944043896
8.309863516523153,-87.43273557678017,-0.019728836275085045,700.686868801717,0.5775050074742368,-0.24670804088738582,-0.1897228887995629,0.7547371661462672,17.84302878009243,-9.677542903538324,0.052020492070240315
8.319863516523153,-87.50162502876047,-0.01974409923440238,700.8509396531998,0.5756071022770342,-0.248315719346934,-0.19014910608233174,0.7555520765525037,17.746327701736295,-9.66263337724206,0.051738564728094155
8.329863516523153,-87.57049035229106,-0.019759356847886128,701.0139722105538,0.5737152433377699,-0.24991827246659762,-0.19056506731641248,0.7563573807143984,17.649776112547592,-9.647643736238592,0.05145707321442446
8.339863516523152,-87.63933168740971,-0.019774609146562674,701.1759671480236,0.5718295165847469,-0.2515155001715443,-0.19097070732329252,0.7571532220585296,17.553374827011528,-9.632571282730169,0.05117601990382369
8.349863516523152,-87.70814917380298,-0.019789856161380587,701.3369251351584,0.5699499979644076,-0.25310723482005715,-0.19136599044634342,0.7579397342769841,17.457124686892993,-9.617413257744829,0.050895407250416885
8.359863516523152,-87.77694295080622,-0.019805097923210637,701.4968468368245,0.5680767534432006,-0.2546933410121727,-0.19175090977995146,0.7587170410853508,17.361026561856633,-9.60216683944111,0.05061523778966948
8.369863516523152,-87.84571315740361,-0.019820334462845774,701.6557329132177,0.5662098390358038,-0.256273715325645,-0.19212548635307602,0.7594852560116568,17.265081350104175,-9.586829141359203,0.05033551414024541
